image;Majority Human;GPT-4o;GPT-4o Explanation
christianlindner_22-09-2021_00:00_image1.jpeg;Media Work;Media Work;The image is a screenshot of an online newspaper article, which is typical of media coverage.
christianlindner_22-09-2021_00:00_image6.jpeg;Media Work;Media Work;The image is a screenshot of an online article featuring an interview with a politician, which is typical of media coverage.
armin_laschet_25-09-2021_00:00_video14.jpeg;Media Work;Campaign Event;The image shows a politician speaking at a podium with party branding, indicating a formal setting typical of a campaign event.
cdu_17-09-2021_00:00_image5.jpeg;Individual Voter Contact;Individual Voter Contact;The image shows a politician interacting with the public, holding a sign with supporters, indicating direct engagement with voters.
abaerbock/2021-09-20_18-22-45_UTC_3.jpg;Individual Voter Contact;Individual Voter Contact;The image shows a politician interacting directly with a young voter, likely signing an autograph. This indicates a personal, face-to-face engagement typical of individual voter contact.
olafscholz_13-09-2021_00:00_video4.jpeg;Individual Voter Contact;Individual Voter Contact;The image shows a politician taking a selfie with a supporter, indicating a direct, personal interaction with a voter.
olafscholz_17-09-2021_00:00_image3.jpeg;Individual Voter Contact;Campaign Event;The image shows a politician posing with emergency service workers, likely at a campaign event. The presence of text thanking the workers and the context of a large event suggest it is part of a public engagement.
armin_laschet_24-09-2021_00:00_video3.jpeg;Media Work;Media Work;The image shows a politician being interviewed by a media outlet, indicated by the microphone and the text referencing an ARD interview. This suggests interaction with traditional media.
markus.soeder_24-09-2021_00:00_video1.jpeg;Media Work;Media Work;The image is a screenshot of an online article featuring a politician, which is indicative of media coverage.
die_gruenen_26-09-2021_00:00_video1.jpeg;Media Work;Social Media Moderation;The image shows a person speaking directly to the camera in a casual setting, likely for social media engagement.
abaerbock_18-09-2021_00:00_image14.jpeg;Individual Voter Contact;Individual Voter Contact;The image shows a personal interaction between a politician and a voter, emphasizing direct engagement.
afd.bund/2021-09-18_08-25-44_UTC_2.jpg;Individual Voter Contact;Individual Voter Contact;The image shows a politician interacting with people in a casual and informal setting, suggesting a personal engagement with the public.
abaerbock/2021-09-20_18-22-45_UTC_2.jpg;Individual Voter Contact;Individual Voter Contact;The image shows a politician taking a selfie with a voter, indicating a personal interaction and direct engagement with the public.
christianlindner/2021-09-13_10-08-20_UTC_1.jpg;Individual Voter Contact;Individual Voter Contact;The image shows a politician interacting directly with a voter, likely taking a selfie or engaging in a personal conversation, which is characteristic of individual voter contact.
armin_laschet_19-09-2021_00:00_image4.jpeg;Individual Voter Contact;Individual Voter Contact;The image shows a politician taking a selfie with a voter, indicating a direct, personal interaction.
abaerbock_21-09-2021_00:00_image11.jpeg;Individual Voter Contact;Campaign Event;The image shows a person interacting with a crowd, possibly taking a selfie or engaging with attendees. The presence of a rainbow flag and the text overlay suggest a public setting with a focus on inclusivity and future opportunities for children. This aligns with the characteristics of a campaign event where politicians engage with the public.
olafscholz_26-09-2021_00:00_video8.jpeg;Individual Voter Contact;Campaign Event;The image shows a politician interacting with a group of people in an outdoor setting, which suggests a campaign event or gathering. The presence of multiple individuals and the context of a campaign conclusion indicate a public event.
saskiaesken/2021-09-21_13-47-48_UTC_2.jpg;Individual Voter Contact;Behind The Scenes;The image shows a group of people in a casual setting, possibly during a visit or informal meeting. It does not clearly depict a campaign event, media work, or direct voter interaction.
cdu_18-09-2021_00:00_image1.jpeg;Individual Voter Contact;Campaign Event;The image shows a group of people, including a politician, posing with a campaign poster. This setting suggests a public gathering or event where the politician is engaging with supporters.
armin_laschet/2021-09-13_17-02-10_UTC_3.jpg;Individual Voter Contact;Campaign Event;The image shows a politician interacting with a group of people, likely at a public event. The presence of cameras and a crowd suggests a formal gathering or rally.
afd.bund/2021-09-18_08-25-44_UTC_6.jpg;Individual Voter Contact;Individual Voter Contact;The image shows a person taking a selfie with another individual, likely a politician, who is giving a thumbs-up. This indicates a personal interaction between a politician and a voter.
die_gruenen/2021-09-19_09-28-42_UTC.jpg;Individual Voter Contact;Campaign Event;The image shows a political figure interacting with the public, likely at a campaign event, as indicated by the presence of a crowd and media equipment.
saskiaesken/2021-09-17_15-18-03_UTC_2.jpg;Individual Voter Contact;Individual Voter Contact;The image shows a group of people, including a politician, engaging directly with individuals, likely voters, in a casual setting. This suggests a personal interaction typical of individual voter contact.
nicola_beer/2021-09-23_12-42-44_UTC_2.jpg;Individual Voter Contact;Individual Voter Contact;The image shows individuals interacting in a casual manner, likely at a campaign booth or event, but the focus is on personal interaction rather than a formal event setting.
abaerbock/2021-09-20_18-22-45_UTC_6.jpg;Individual Voter Contact;Individual Voter Contact;The image shows a person speaking into a microphone in a public setting, likely engaging with voters or the public directly.
abaerbock_13-09-2021_00:00_image4.jpeg;Individual Voter Contact;Media Work;The image shows a person wearing a mask, seemingly engaged in a discussion after a broadcast, as indicated by the text. This suggests a setting related to media or post-event interaction.
olafscholz_17-09-2021_00:00_video10.jpeg;Individual Voter Contact;Behind The Scenes;The image shows a politician posing with police officers in a casual setting, likely expressing gratitude for their service. This informal interaction suggests a behind-the-scenes moment rather than a formal event or media work.
armin_laschet_17-09-2021_00:00_image12.jpeg;Individual Voter Contact;Individual Voter Contact;The image shows a politician interacting with the public, posing for a photo with a supporter holding a sign. This indicates a direct, personal engagement with voters.
robert.habeck_18-09-2021_00:00_image14.jpeg;Individual Voter Contact;Individual Voter Contact;The image shows a politician engaging in a direct conversation with a voter, indicating personal interaction and face-to-face engagement.
cdu_26-09-2021_00:00_video15.jpeg;Individual Voter Contact;Individual Voter Contact;The image shows a politician interacting directly with a crowd, taking selfies and engaging with individuals, which emphasizes personal interaction with voters.
nicola_beer_22-09-2021_00:00_image0.jpeg;Individual Voter Contact;Behind The Scenes;The image shows a group of people posing in a bakery setting, likely during a visit or informal meeting. This suggests a behind-the-scenes look at a campaign stop or local engagement.
spdde/2021-09-20_15-56-40_UTC.jpg;Individual Voter Contact;Individual Voter Contact;The image shows a politician interacting directly with individuals in a casual setting, suggesting a personal engagement with voters.
armin_laschet/2021-09-21_05-10-21_UTC_4.jpg;Individual Voter Contact;Individual Voter Contact;The image shows a politician engaging in a direct, informal conversation with individuals, suggesting a personal interaction with voters.
abaerbock_21-09-2021_00:00_video1.jpeg;Individual Voter Contact;Individual Voter Contact;The image shows a politician interacting directly with a child, indicating a personal engagement with voters.
olafscholz_26-09-2021_00:00_image5.jpeg;Individual Voter Contact;Individual Voter Contact;The image shows a politician posing with musicians, indicating a casual interaction after an event. This suggests a personal engagement rather than a formal campaign activity.
armin_laschet_19-09-2021_00:00_image6.jpeg;Individual Voter Contact;Campaign Event;The image shows a politician interacting with emergency service personnel, likely as part of a public appearance or event. This setting suggests a formal engagement, possibly related to campaign activities.
christianlindner_23-09-2021_00:00_image2.jpeg;Campaign Event;Campaign Event;The image shows a politician speaking to a large crowd in front of a building, indicating a public gathering or rally. The presence of a stage and audience suggests a formal campaign event.
cdu/2021-09-25_13-50-24_UTC_1.jpg;Campaign Event;Campaign Event;The image shows a political event with a stage and individuals addressing an audience, which is typical of a campaign event.
christianlindner/2021-09-26_10-50-55_UTC_3.jpg;Campaign Event;Campaign Event;The image shows a politician speaking to a crowd, indicating a public setting typical of a campaign event.
robert.habeck_17-09-2021_00:00_video6.jpeg;Campaign Event;Campaign Event;The image shows a performance on a stage with an audience, indicating a public event setting.
robert.habeck_18-09-2021_00:00_image1.jpeg;Campaign Event;Campaign Event;The image shows a public gathering with a stage and a speaker addressing an audience, which is typical of a political event.
abaerbock_14-09-2021_00:00_video0.jpeg;Campaign Event;Campaign Event;The image shows a person speaking on a stage with an audience, indicating a formal gathering or event.
afd.bund_25-09-2021_00:00_image6.jpeg;Campaign Event;Campaign Event;The image shows a person speaking at a podium on a stage with campaign branding, indicating a formal political event.
fw_bayern/2021-09-22_19-02-44_UTC_2.jpg;Campaign Event;Media Work;The image shows a person speaking at a podium with media personnel recording the event, indicating media coverage of a political event.
atesgurpinar/2021-09-19_08-42-11_UTC_4.jpg;Campaign Event;Campaign Event;The image shows a person speaking on a stage with a backdrop featuring political slogans and party branding, indicating a formal political event.
armin_laschet_22-09-2021_00:00_video6.jpeg;Campaign Event;Campaign Event;The image shows a stage setup with a crowd, indicating a formal gathering or rally, which is typical of a campaign event.
christlichsozialeunion/2021-09-15_19-42-53_UTC.jpg;Campaign Event;Campaign Event;The image shows a group of people on a stage with a backdrop featuring campaign slogans and logos, indicating a formal political event.
christianlindner/2021-09-21_19-30-47_UTC_5.jpg;Campaign Event;Campaign Event;The image shows a politician speaking to a crowd from a stage, indicating a formal gathering or rally.
cdu/2021-09-24_15-38-55_UTC.jpg;Campaign Event;Campaign Event;The image shows a politician speaking at a podium with a backdrop featuring campaign slogans and party logos, indicating a formal political event.
olafscholz/2021-09-26_18-22-24_UTC.jpg;Campaign Event;Campaign Event;The image shows a large gathering with a stage and a politician addressing an audience, which is typical of a political event.
olafscholz_23-09-2021_00:00_image3.jpeg;Campaign Event;Campaign Event;The image shows a person speaking into a microphone, likely at a public event or gathering, which suggests a formal interaction or speech. The presence of text indicating an invitation to a specific location supports the context of a public engagement.
cdu/2021-09-23_16-10-56_UTC_5.jpg;Campaign Event;Campaign Event;The image shows a group of people on a stage with a backdrop featuring a political party logo, indicating a formal gathering or rally.
christianlindner_22-09-2021_00:00_image4.jpeg;Campaign Event;Campaign Event;The image shows a political event with a speaker on stage addressing a crowd, which is characteristic of a campaign event.
christlichsozialeunion/2021-09-25_08-46-27_UTC.jpg;Campaign Event;Campaign Event;The image shows a formal gathering with a speaker at a podium and an audience seated at tables, indicating a structured event setting.
armin_laschet_25-09-2021_00:00_video10.jpeg;Campaign Event;Campaign Event;The image shows a formal gathering with a stage and speakers, indicating a political event.
robert.habeck_17-09-2021_00:00_video13.jpeg;Campaign Event;Campaign Event;The image shows a person speaking to a crowd, indicating a public gathering or event. The presence of an audience suggests it is part of a campaign event.
armin_laschet_17-09-2021_00:00_video9.jpeg;Campaign Event;Campaign Event;The image shows a public gathering with a stage and people attending, which is typical of a political event such as a rally or speech.
abaerbock/2021-09-22_13-32-14_UTC_2.jpg;Campaign Event;Campaign Event;The image shows a large gathering with a stage and a speaker addressing an audience, which is typical of a political rally or event.
spdde_19-09-2021_00:00_video11.jpeg;Campaign Event;Campaign Event;The image shows a group of people on a stage, likely at a political event, with a backdrop and lighting setup typical of campaign rallies or formal gatherings.
cdu/2021-09-16_17-02-39_UTC_5.jpg;Campaign Event;Campaign Event;The image shows a politician speaking to a crowd from a stage, indicating a formal gathering or rally.
olafscholz_21-09-2021_00:00_image4.jpeg;Campaign Event;Campaign Event;The image shows a politician on stage with another individual, indicating a formal gathering or speech. The presence of a podium and the context of a public event suggest it is part of a campaign event.
olafscholz_19-09-2021_00:00_video6.jpeg;Campaign Event;Campaign Event;The image shows a politician speaking on a stage at an outdoor event, which is indicative of a formal gathering or rally.
