image;Majority Human;GPT-4o
christianlindner_22-09-2021_00:00_image1.jpeg;Media Work;Media Work
christianlindner_22-09-2021_00:00_image6.jpeg;Media Work;Media Work
armin_laschet_25-09-2021_00:00_video14.jpeg;Media Work;Media Work
cdu_17-09-2021_00:00_image5.jpeg;Individual Voter Contact;Individual Voter Contact
abaerbock/2021-09-20_18-22-45_UTC_3.jpg;Individual Voter Contact;Individual Voter Contact
christianlindner_22-09-2021_00:00_image1.jpeg;Media Work;Media Work
christianlindner_22-09-2021_00:00_image6.jpeg;Media Work;Media Work
armin_laschet_25-09-2021_00:00_video14.jpeg;Media Work;Campaign Event
cdu_17-09-2021_00:00_image5.jpeg;Individual Voter Contact;Individual Voter Contact
abaerbock/2021-09-20_18-22-45_UTC_3.jpg;Individual Voter Contact;Individual Voter Contact
olafscholz_13-09-2021_00:00_video4.jpeg;Individual Voter Contact;Individual Voter Contact
olafscholz_17-09-2021_00:00_image3.jpeg;Individual Voter Contact;Review
armin_laschet_24-09-2021_00:00_video3.jpeg;Media Work;Media Work
markus.soeder_24-09-2021_00:00_video1.jpeg;Media Work;Media Work
die_gruenen_26-09-2021_00:00_video1.jpeg;Media Work;Media Work
abaerbock_18-09-2021_00:00_image14.jpeg;Individual Voter Contact;Social Media Moderation
afd.bund/2021-09-18_08-25-44_UTC_2.jpg;Individual Voter Contact;Individual Voter Contact
abaerbock/2021-09-20_18-22-45_UTC_2.jpg;Individual Voter Contact;Individual Voter Contact
christianlindner/2021-09-13_10-08-20_UTC_1.jpg;Individual Voter Contact;Individual Voter Contact
armin_laschet_19-09-2021_00:00_image4.jpeg;Individual Voter Contact;Individual Voter Contact
abaerbock_21-09-2021_00:00_image11.jpeg;Individual Voter Contact;Campaign Event
olafscholz_26-09-2021_00:00_video8.jpeg;Individual Voter Contact;Campaign Event
saskiaesken/2021-09-21_13-47-48_UTC_2.jpg;Individual Voter Contact;Review
cdu_18-09-2021_00:00_image1.jpeg;Individual Voter Contact;Campaign Event
armin_laschet/2021-09-13_17-02-10_UTC_3.jpg;Individual Voter Contact;Campaign Event
afd.bund/2021-09-18_08-25-44_UTC_6.jpg;Individual Voter Contact;Individual Voter Contact
die_gruenen/2021-09-19_09-28-42_UTC.jpg;Individual Voter Contact;Campaign Event
saskiaesken/2021-09-17_15-18-03_UTC_2.jpg;Individual Voter Contact;Individual Voter Contact
nicola_beer/2021-09-23_12-42-44_UTC_2.jpg;Individual Voter Contact;Individual Voter Contact
abaerbock/2021-09-20_18-22-45_UTC_6.jpg;Individual Voter Contact;Campaign Event
abaerbock_13-09-2021_00:00_image4.jpeg;Individual Voter Contact;Behind The Scenes
olafscholz_17-09-2021_00:00_video10.jpeg;Individual Voter Contact;Social Media Moderation
armin_laschet_17-09-2021_00:00_image12.jpeg;Individual Voter Contact;Individual Voter Contact
robert.habeck_18-09-2021_00:00_image14.jpeg;Individual Voter Contact;Individual Voter Contact
cdu_26-09-2021_00:00_video15.jpeg;Individual Voter Contact;Individual Voter Contact
nicola_beer_22-09-2021_00:00_image0.jpeg;Individual Voter Contact;Review
spdde/2021-09-20_15-56-40_UTC.jpg;Individual Voter Contact;Individual Voter Contact
armin_laschet/2021-09-21_05-10-21_UTC_4.jpg;Individual Voter Contact;Individual Voter Contact
abaerbock_21-09-2021_00:00_video1.jpeg;Individual Voter Contact;Individual Voter Contact
olafscholz_26-09-2021_00:00_image5.jpeg;Individual Voter Contact;Individual Voter Contact
armin_laschet_19-09-2021_00:00_image6.jpeg;Individual Voter Contact;Individual Voter Contact
christianlindner_23-09-2021_00:00_image2.jpeg;Campaign Event;Campaign Event
cdu/2021-09-25_13-50-24_UTC_1.jpg;Campaign Event;Campaign Event
