image;Majority Human;GPT-4o;GPT-4o Explanation
/content/images/upload_s3/christianlindner_22-09-2021_00:00_image1.jpeg;Media Work;Media Work;The image is a screenshot of an online newspaper article from WELT, featuring a headline and a photo of a person, which fits the criteria for Media Work.
/content/images/upload_s3/christianlindner_22-09-2021_00:00_image6.jpeg;Media Work;Media Work;The image is a screenshot of an online newspaper article featuring an interview, which fits the criteria for media work.
/content/images/upload_s3/armin_laschet_25-09-2021_00:00_video14.jpeg;Media Work;Campaign Event;The image shows a politician speaking at a podium with a backdrop featuring party logos, indicating a formal political event.
/content/images/upload_s3/cdu_17-09-2021_00:00_image5.jpeg;Individual Voter Contact;Individual Voter Contact;The image shows a politician interacting with people in a public setting, likely taking photos and engaging with voters.
/content/posts/abaerbock/2021-09-20_18-22-45_UTC_3.jpg;Individual Voter Contact;Individual Voter Contact;The image shows a politician interacting with a young voter, likely signing an autograph, which fits the context of personal engagement off-stage.
/content/images/upload_s3/olafscholz_13-09-2021_00:00_video4.jpeg;Individual Voter Contact;Individual Voter Contact;The image shows a politician interacting with a person in a casual setting, likely taking a selfie, which fits the criteria for off-stage interaction.
/content/images/upload_s3/olafscholz_17-09-2021_00:00_image3.jpeg;Individual Voter Contact;Campaign Event;The image shows a politician posing with a group of people, likely at an event, but not directly interacting with voters in a personal manner. It does not depict a stage or speech, nor is it a behind-the-scenes or media work setting.
/content/images/upload_s3/armin_laschet_24-09-2021_00:00_video3.jpeg;Media Work;Media Work;The image shows a person being interviewed, likely in a media context, with text indicating it's part of a broadcast or media segment.
/content/images/upload_s3/markus.soeder_24-09-2021_00:00_video1.jpeg;Media Work;Media Work;The image is a screenshot of an online newspaper article featuring Markus Söder, which fits the criteria for media work.
/content/images/upload_s3/die_gruenen_26-09-2021_00:00_video1.jpeg;Media Work;Social Media Moderation;The image shows a person engaging directly with the camera in a casual manner, likely in a non-studio setting, which aligns with social media content.
/content/images/upload_s3/abaerbock_18-09-2021_00:00_image14.jpeg;Individual Voter Contact;Individual Voter Contact;The image shows a politician interacting with a voter in a direct, personal manner, which is characteristic of off-stage interactions.
/content/posts/afd.bund/2021-09-18_08-25-44_UTC_2.jpg;Individual Voter Contact;Individual Voter Contact;The image shows a politician interacting with people in a casual setting, likely off-stage, which aligns with the criteria for Individual Voter Contact.
/content/posts/abaerbock/2021-09-20_18-22-45_UTC_2.jpg;Individual Voter Contact;Individual Voter Contact;The image shows a politician interacting with a person off-stage, taking a selfie with a crowd in the background.
/content/posts/christianlindner/2021-09-13_10-08-20_UTC_1.jpg;Individual Voter Contact;Individual Voter Contact;The image shows a politician interacting with people off-stage, likely taking a selfie or engaging in conversation with individuals.
/content/images/upload_s3/armin_laschet_19-09-2021_00:00_image4.jpeg;Individual Voter Contact;Individual Voter Contact;The image shows a politician taking a selfie with a person, indicating interaction with people off-stage.
/content/images/upload_s3/abaerbock_21-09-2021_00:00_image11.jpeg;Individual Voter Contact;Individual Voter Contact;The image shows a politician interacting with a crowd, likely taking a selfie or engaging with attendees, which fits the context of off-stage interaction.
/content/images/upload_s3/olafscholz_26-09-2021_00:00_video8.jpeg;Individual Voter Contact;Campaign Event;The image shows a politician interacting with a group of people in an outdoor setting, which suggests a campaign event or gathering. The presence of multiple people and the context of a campaign conclusion indicate a public event.
/content/posts/saskiaesken/2021-09-21_13-47-48_UTC_2.jpg;Individual Voter Contact;Behind The Scenes;The image shows a group of people posing together in a casual setting, likely behind the scenes of an event or visit, without any indication of a formal campaign event or media work.
/content/images/upload_s3/cdu_18-09-2021_00:00_image1.jpeg;Individual Voter Contact;Campaign Event;The image shows a group of people, including a politician, posing with a campaign poster. This setting suggests interaction with voters or supporters, but it is not a casual, off-stage interaction. It appears to be a more organized event.
/content/posts/armin_laschet/2021-09-13_17-02-10_UTC_3.jpg;Individual Voter Contact;Campaign Event;The image shows a politician interacting with a crowd, likely at a campaign event, as indicated by the presence of media and supporters.
/content/posts/afd.bund/2021-09-18_08-25-44_UTC_6.jpg;Individual Voter Contact;Individual Voter Contact;The image shows a politician interacting with a person by taking a selfie, which is a direct interaction off-stage.
/content/posts/die_gruenen/2021-09-19_09-28-42_UTC.jpg;Individual Voter Contact;Campaign Event;The image shows a politician interacting with a crowd, likely at a campaign event, as indicated by the presence of a microphone and people taking photos.
/content/posts/saskiaesken/2021-09-17_15-18-03_UTC_2.jpg;Individual Voter Contact;Individual Voter Contact;The image shows a group of people, including a politician, interacting with individuals in a casual setting, likely distributing campaign materials. This suggests direct engagement with voters.
/content/posts/nicola_beer/2021-09-23_12-42-44_UTC_2.jpg;Individual Voter Contact;Campaign Material;The image shows people interacting in a casual manner at what appears to be a campaign booth or event setup, but not directly engaging with voters in a personal way.
/content/posts/abaerbock/2021-09-20_18-22-45_UTC_6.jpg;Individual Voter Contact;Individual Voter Contact;The image shows a politician interacting with people in a public setting, likely engaging in conversation or answering questions, which fits the context of individual voter contact.
/content/images/upload_s3/abaerbock_13-09-2021_00:00_image4.jpeg;Individual Voter Contact;Behind The Scenes;The image shows a person wearing a mask, seemingly in a discussion after a broadcast, suggesting a behind-the-scenes context.
/content/images/upload_s3/olafscholz_17-09-2021_00:00_video10.jpeg;Individual Voter Contact;Behind The Scenes;The image shows a politician posing with police officers in a non-stage setting, suggesting a more informal interaction rather than a formal event or media work.
/content/images/upload_s3/armin_laschet_17-09-2021_00:00_image12.jpeg;Individual Voter Contact;Individual Voter Contact;The image shows a politician interacting with people off-stage, posing for a photo with a supporter holding a sign. This fits the criteria for Individual Voter Contact.
/content/images/upload_s3/robert.habeck_18-09-2021_00:00_image14.jpeg;Individual Voter Contact;Individual Voter Contact;The image shows a politician interacting with a voter in a direct, personal manner, which fits the criteria for Individual Voter Contact.
/content/images/upload_s3/cdu_26-09-2021_00:00_video15.jpeg;Individual Voter Contact;Individual Voter Contact;The image shows a politician interacting with a crowd, taking selfies, which indicates direct engagement with voters.
/content/images/upload_s3/nicola_beer_22-09-2021_00:00_image0.jpeg;Individual Voter Contact;Behind The Scenes;The image shows a group of people posing in a bakery setting, which suggests a casual, behind-the-scenes moment rather than a formal event or media work.
/content/posts/spdde/2021-09-20_15-56-40_UTC.jpg;Individual Voter Contact;Individual Voter Contact;The image shows a politician interacting with people in an informal setting, which aligns with the criteria for Individual Voter Contact.
